case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_025,5,ok,431.9277820587158,4863026,975282,4.986276789687495,110592,5,16,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_025_5core.json,
case_026,5,ok,28.21990180015564,99203,23776,4.172400740242261,352604,5,115,slack_t0.5_c1.0_a5|fine_win64+ls_move_u181->c2+ls_move_u135->c1+ls_move_u105->c1+ls_move_u155->c2+ls_move_u175->c2+ls_move_u154->c1+ls_move_u104->c1+ls_move_u103->c2+ls_move_u239->c2+ls_move_u161->c1+ls_move_u120->c0+ls_resort+ls_move_u136->c4+ls_move_u191->c2+ls_move_u135->c0+ls_move_u228->c4+ls_move_u242->c4+ls_move_u179->c4+ls_move_u178->c4+ls_move_u107->c4+ls_move_u205->c4+ls_move_u268->c4+ls_move_u259->c4+ls_move_u142->c4+ls_move_u166->c4,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_026_5core.json,
case_027,5,ok,74.20040512084961,2363952,448117,5.2753008700852675,7245824,5,98,slack_t0.25_c0.6_a5|fine_time,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_027_5core.json,
case_028,5,ok,612.8928139209747,43836040,7917300,5.536741060715142,32561664,5,24,slack_t0.5_c1.0_a5|fine_time+ls_resort+ls_resort+ls_resort+ls_resort+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_028_5core.json,
case_029,5,ok,10.108439207077026,37555,9383,4.002451241607162,0,5,36,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_029_5core.json,
case_030,5,ok,299.47105288505554,2808034,560581,5.009149436031546,11835392,5,49,v8_wcc_active5|fine_dfs+ls_resort+ls_move_u6843->c3+ls_move_u6842->c3+ls_move_u6826->c3+ls_move_u6844->c1+ls_move_u6840->c1+ls_move_u6825->c3+ls_move_u6839->c1+ls_move_u6827->c1+ls_move_u6823->c3+ls_move_u6841->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_030_5core.json,
case_031,5,ok,192.3407061100006,1414369,300524,4.706342921031266,8244152,5,55,v8_level_aggressive_96_30,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_031_5core.json,
case_032,5,ok,15.536215782165527,41443,9966,4.158438691551274,24728,5,55,v8_level_aggressive_96_30|fine_dfs,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_032_5core.json,
case_033,5,ok,114.26507115364075,1774196,350872,5.056533436694863,14957746,5,61,v8_frontier6|coarse_time+ls_move_u1437->c0+ls_move_u1433->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_033_5core.json,
case_034,5,ok,78.49941492080688,842996,164974,5.1098718585959,3597312,5,43,v8_level_aggressive_160_20|coarse_time,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_034_5core.json,
case_035,5,ok,96.71157884597778,169571,40575,4.179199014171288,694148,5,55,v8_level_aggressive_160_20,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_035_5core.json,
case_036,5,ok,43.950422048568726,931510,187182,4.976493466252097,4608,5,31,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_036_5core.json,
case_037,5,ok,31.923501014709473,210001,43076,4.875127681307457,1925120,5,97,v8_clusterphase_strong_128|fine_win16~win32,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_037_5core.json,
case_038,5,ok,189.96012425422668,1364555,273430,4.990509453973595,8282120,5,54,v8_level_strong_256_10|fine_win16+ls_resort+ls_move_u5394->c2+ls_move_u5867->c2,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_038_5core.json,
case_039,5,ok,177.25793313980103,1435262,338583,4.239025586045371,14319616,5,59,v8_level_strong_256_10|fine_win64+ls_resort+ls_move_u1112->c0+ls_resort+ls_move_u1008->c1+ls_move_u1072->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_039_5core.json,
case_040,5,ok,115.20774388313293,253454,74370,3.408013984133387,1748432,5,82,v8_level_strong_256_10|fine_time+ls_resort+ls_move_u530->c4+ls_move_u1479->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_040_5core.json,
case_042,5,ok,148.24363923072815,1686740,331710,5.084983871453981,11226264,5,58,v8_frontier6,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_042_5core.json,
case_043,5,ok,258.3063201904297,677656,162311,4.175046669665026,5144756,5,49,v8_level_aggressive_160_20,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_043_5core.json,
case_044,5,ok,23.79807996749878,154407,54078,2.855264617774326,1860800,3,57,v8_active3_strong96|fine_time~win256~win512,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_044_5core.json,
case_045,5,ok,19.25423789024353,125614,26164,4.801024308209754,0,5,42,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_045_5core.json,
case_046,5,ok,14.293801069259644,276455,78156,3.5372204309330058,2791200,4,48,slack_t0.5_c1.0_a4|fine_time~win256,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_046_5core.json,
case_047,5,ok,346.58617401123047,326508,98209,3.324624016128868,3420408,5,33,v8_micro64_b40|fine_time+ls_resort+ls_move_u2192->c3+ls_resort+ls_move_u2194->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_047_5core.json,
case_048,5,ok,72.07940292358398,222220,97489,2.2794366543917777,697400,5,110,v8_level_aggressive_160_20|fine_time+ls_move_u816->c4+ls_move_u808->c2+ls_move_u816->c1+ls_move_u808->c1+ls_move_u612->c2+ls_move_u709->c2+ls_move_u612->c4+ls_move_u218->c2,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_048_5core.json,
case_049,5,ok,123.99622797966003,196276,45508,4.312999912103367,799004,5,64,v8_level_aggressive_160_20|fine_time+ls_move_u1125->c4,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_049_5core.json,
case_050,5,ok,126.631098985672,149690,35717,4.1910014838872245,959700,5,64,v8_level_aggressive_96_30|fine_time+ls_resort+ls_move_u1675->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_050_5core.json,
case_051,5,ok,38.81440496444702,607628,169473,3.5853970839012703,460092,5,74,v8_level_none_80_20,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_051_5core.json,
case_052,5,ok,37.9731171131134,180301,34059,5.293784315452597,350228,5,104,v8_level_aggressive_160_20|fine_win64+ls_move_u891->c4+ls_move_u843->c4+ls_move_u526->c4+ls_move_u527->c4+ls_move_u528->c3+ls_move_u438->c4+ls_move_u312->c4+ls_move_u301->c4+ls_move_u250->c4+ls_move_u332->c3+ls_move_u327->c3+ls_move_u322->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_052_5core.json,
case_053,5,ok,332.7350630760193,1472686,362068,4.06742932266867,10782854,5,40,v8_level_strong_256_10|fine_time,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_053_5core.json,
case_054,5,ok,346.6529858112335,815051,201477,4.0453798696625425,4634312,5,28,v8_level_aggressive_160_20,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_054_5core.json,
case_055,5,ok,20.39404320716858,118835,25628,4.636920555642266,226824,5,49,v8_level_aggressive_96_30,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_055_5core.json,
case_056,5,ok,208.34762907028198,277285,68485,4.048842812294663,1225752,5,51,v8_level_aggressive_160_20|coarse_time~win256,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_056_5core.json,
case_057,5,ok,11.943756103515625,59726,13151,4.541555775226218,104336,5,46,v8_micro64_b40+ls_move_u23->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_057_5core.json,
case_058,5,ok,429.8547568321228,4539717,944189,4.8080596151829775,40054784,5,20,v8_level_strong_256_10,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_058_5core.json,
case_059,5,ok,87.75620007514954,829473,148571,5.583007450983032,4491264,5,73,v8_frontier6,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_059_5core.json,
case_060,5,ok,131.7708740234375,888789,170638,5.208622932758237,3930628,5,44,v8_level_aggressive_160_20,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_060_5core.json,
case_061,5,ok,18.56543803215027,77191,18699,4.128081715599765,95748,5,49,v8_level_aggressive_160_20|fine_win64,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_061_5core.json,
case_062,5,ok,488.26060700416565,2854809,575323,4.9620978128807645,5345280,5,28,v8_level_strong_256_10+ls_move_u54->c2+ls_move_u42->c4+ls_move_u48->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_062_5core.json,
case_063,5,ok,183.40651893615723,1070397,210010,5.096885862577972,2626560,5,49,v8_level_strong_256_10|fine_time+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_063_5core.json,
case_064,5,ok,17.021072149276733,19116,7262,2.63233269071881,102644,5,59,v8_micro64_b40|fine_time+ls_move_u11->c3+ls_move_u106->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_064_5core.json,
case_065,5,ok,19.285735845565796,53068,10208,5.1986677115987465,55592,5,94,v8_wcc_active5|fine_win4+ls_resort+ls_move_u325->c0+ls_move_u253->c0+ls_move_u252->c0+ls_move_u251->c0,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_065_5core.json,
case_066,5,ok,177.74851608276367,359070,94082,3.816564273718671,3093892,5,61,v8_level_aggressive_96_30+ls_move_u18->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_066_5core.json,
case_067,5,ok,240.52940702438354,63834834,12594409,5.068505715512336,17327616,5,41,slack_t0.5_c1.0_a5|fine_time,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_067_5core.json,
case_068,5,ok,157.26365303993225,362095,115688,3.1299270451559367,3068824,5,60,v8_level_aggressive_160_20|fine_time+ls_move_u1254->c2,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_068_5core.json,
case_069,5,ok,31.978048086166382,25144,9880,2.544939271255061,341746,5,103,v8_clusterphase_aggressive_64|fine_time,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_069_5core.json,
case_070,5,ok,40.47459626197815,117300,25143,4.665314401622718,425224,5,111,v8_level_aggressive_160_20|fine_win64+ls_move_u824->c1+ls_move_u1032->c2+ls_move_u1016->c0+ls_move_u873->c0+ls_move_u316->c0+ls_move_u312->c0,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_070_5core.json,
case_071,5,ok,17.841742038726807,18919,7364,2.569120043454644,285810,5,78,v8_clusterphase_aggressive_64|fine_win4+ls_move_u4->c4+ls_resort+ls_move_u5->c2,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_071_5core.json,
case_073,5,ok,110.50436782836914,10081626,1854526,5.436227909449638,14886400,5,43,slack_t0.5_c1.0_a5|fine_time,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_073_5core.json,
case_074,5,ok,129.42326307296753,1682239,322747,5.212252941158245,8176640,5,74,v8_wcc_active5|fine_time+ls_move_u1523->c4+ls_move_u1511->c4+ls_move_u1517->c4+ls_move_u1519->c4,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_074_5core.json,
case_075,5,ok,196.97999906539917,1441809,355126,4.059992791290979,5023254,5,44,v8_level_aggressive_160_20|coarse_time,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_075_5core.json,
case_077,5,ok,119.57122588157654,495320,105465,4.696534395297018,1345566,5,62,v8_level_aggressive_160_20,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_077_5core.json,
case_078,5,ok,16.983971118927002,2296143,472527,4.859284231377255,9073800,5,45,slack_t0.5_c1.0_a5|fine_time~win256~win512,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_078_5core.json,
case_080,5,ok,49.62532186508179,292138,86515,3.3767323585505404,3174400,5,103,v8_level_strong_1024_8|fine_time+ls_move_u222->c3+ls_move_u108->c1+ls_move_u164->c4+ls_move_u167->c0+ls_move_u165->c1+ls_move_u106->c1+ls_move_u52->c4,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_080_5core.json,
case_081,5,ok,67.3897008895874,151795,30943,4.905632937982743,0,5,37,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_081_5core.json,
case_082,5,ok,158.66809606552124,721041,179152,4.024744351165491,4325492,5,64,slack_t0.5_c1.0_a5|fine_time+ls_resort+ls_move_u1541->c2+ls_move_u1433->c2+ls_move_u1457->c4+ls_move_u1512->c2+ls_move_u1438->c4+ls_move_u1532->c3+ls_move_u1445->c1+ls_move_u1438->c1+ls_move_u1557->c4+ls_move_u1541->c0,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_082_5core.json,
case_083,5,ok,84.11810517311096,1057993,185719,5.696740775041865,3721600,5,48,slack_t0.5_c1.0_a5|fine_time~win256~win512,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_083_5core.json,
case_084,5,ok,233.6915099620819,2507412,503472,4.98024120507198,0,5,28,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_084_5core.json,
case_085,5,ok,402.45153403282166,3187899,761875,4.184280885972108,20520440,5,15,v8_level_strong_256_10|fine_time+ls_resort+ls_move_u6342->c1+ls_move_u6343->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_085_5core.json,
case_086,5,ok,172.11429405212402,118403,41494,2.853496891116788,1653776,4,65,slack_t0.5_c1.0_a4|fine_time+ls_resort+ls_resort,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_086_5core.json,
case_088,5,ok,114.96535897254944,243623,76760,3.1738275143303802,2093704,5,77,v8_level_aggressive_160_20+ls_resort+ls_resort+ls_move_u129->c4+ls_resort+ls_move_u113->c4+ls_move_u66->c1+ls_move_u67->c2,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_088_5core.json,
case_089,5,ok,116.06029796600342,693092,122005,5.680849145526823,954880,5,58,v8_level_none_80_20|fine_time~win256,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_089_5core.json,
case_090,5,ok,42.4299590587616,1178363,241602,4.877289923096663,8823672,5,70,slack_t0.75_c1.5_a5|fine_time~win256+ls_move_u64->c3+ls_move_u44->c4,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_090_5core.json,
case_092,5,ok,489.9416630268097,4815554,793156,6.071383183131692,3983744,5,33,slack_t0.5_c1.0_a5|fine_time+ls_move_u66->c3,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_092_5core.json,
case_093,5,ok,7.760579824447632,74205,15876,4.674036281179139,32768,5,35,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_093_5core.json,
case_094,5,ok,12.544200897216797,94892,19067,4.97676614045209,259212,5,67,v8_level_strong_256_10|fine_time+ls_move_u0->c2,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_094_5core.json,
case_095,5,ok,96.9253511428833,2084853,420852,4.953886401870491,0,5,34,v8_wcc_active5,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_095_5core.json,
case_096,5,ok,44.608834743499756,84194,22307,3.7743309275115435,809688,5,106,slack_t0.25_c0.6_a5|fine_time+ls_resort+ls_resort+ls_move_u699->c0,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_096_5core.json,
case_097,5,ok,223.15644097328186,11491509,2063819,5.568079855840071,18255872,5,55,v8_frontier6,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_097_5core.json,
case_098,5,ok,52.73548626899719,177430,45865,3.8685271993895127,795576,5,105,v8_level_strong_256_10|fine_time+ls_move_u864->c4+ls_move_u861->c1+ls_move_u863->c4+ls_move_u1011->c1+ls_move_u1012->c1,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_098_5core.json,
case_099,5,ok,189.34601402282715,1622999,325400,4.987704363859865,9630720,5,51,v8_wcc_active5|fine_win4,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_099_5core.json,
case_100,5,ok,69.40810084342957,151223,40525,3.731597779148674,1201190,5,107,slack_t0.5_c1.0_a5|fine_time,/Users/xiaohan/code/shumo/A/results/p2_quick/A题_problem2_solver_allcase_plans/case_100_5core.json,
